PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40730795,"AI generated annotations for Breast, Brain, Liver, Lungs, and Prostate cancer collections in the National Cancer Institute Imaging Data Commons.",2025 Jul 29,Murugesan Gowtham Krishnan; McCrumb Diana; Soni Rahul; Kumar Jithendra; Nuernberg Leonard; Pei Linmin; Wagner Ulrike; Granger Sutton; Fedorov Andrey Y; Moore Stephen; Van Oss Jeff,,gowtham.murugesan@bamfhealth.com.
40730400,Evaluating the accuracy of artificial intelligence-powered chest X-ray diagnosis for paediatric pulmonary tuberculosis (EVAL-PAEDTBAID): Study protocol for a multi-centre diagnostic accuracy study.,2025 Jul 28,Robert Dennis; Shaheen Aneela; Ambreen Atiqa; Bano Iqbal; Chiramal Justy Antony; Andronikou Savvas,,Heather.Zar@uct.ac.za.
40730345,Effective detection of Covid-19 using Xception net architecture: A technical investigation using X-ray images.,2025 Jul-Sep,Khalid Saifullah,"Principal Scientist, IBM Multi Activities Co Ltd, Khartaum, Sudan.",
40729691,K-Means Clustering and Classification of Breast Cancer Images Using Histogram of Oriented Gradients Features and Convolutional Neural Network Models: Diagnostic Image Analysis Study.,2025 Jul 29,,,
40729327,Differentiation of COVID-19 from other types of viral pneumonia and severity scoring on baseline chest radiographs: Comparison of deep learning with multi-reader evaluation.,2025,Kozak Robert Andrew,,
40729084,Contrastive Self-Supervised Ensemble Transfer Learning for Robust Skin Cancer Classification and Early Detection.,2025 Jul 01,,,
40729021,A Novel Hypoxia-Immune Signature for Gastric Cancer Prognosis and Immunotherapy: Insights from Bulk and Single-Cell RNA-Seq.,2025 Jul 16,Le Viet Huan,,
40728741,[68Ga]Ga-NODAGA-RGD post MI reflects activated fibroblasts rather than angiogenesis.,2025 Jul 29,Wolfien Markus,,cajetan.lang@mri.tum.de.
40728538,Development and validation of a cranial ultrasound imaging-based deep learning model for periventricular-intraventricular haemorrhage detection and grading: a two-centre study.,2025 Jul 29,,,wangyidrb@126.com.
40728403,Drafting the Future: The Dawn of AI Report Generation in Radiology.,2025 Jul,Seah Jarrel C Y; Tang Jennifer S N; Tran Aengus,,
40728399,AI to Reduce the Interval Cancer Rate of Screening Digital Breast Tomosynthesis.,2025 Jul,Bahl Manisha; Langarica Saul; Lamb Leslie R; Kniss Ariel S; Do Synho,,
40728311,Advances in non-invasive diagnostic tools for endometriosis: A narrative review of the past ten years.,2025 Jul 29,,,
40727375,Analyzing explainability of YOLO-based breast cancer detection using heat map visualizations.,2025 Jul 01,Ariyametkul Awika; Paing May Phu,,
40727355,Multi-level channel-spatial attention and light-weight scale-fusion network (MCSLF-Net): multi-level channel-spatial attention and light-weight scale-fusion transformer for 3D brain tumor segmentation.,2025 Jul 01,,,
40727351,Application of non-invasive imaging in myocardial infarction: a bibliometric analysis from January 2003 to December 2022.,2025 Jul 01,,,
40727340,Association of magnetic resonance imaging glymphatic function with gray matter volume loss and cognitive impairment in Alzheimer's disease: a diffusion tensor image analysis along the perivascular space (DTI-ALPS) study.,2025 Jul 01,Liang Xiao-Yun,"Institute of Artificial Intelligence and Clinical Innovation, Neusoft Medical Systems Co., Ltd., Shanghai, China.",
40727314,Intracoronary Optical Coherence Tomography: Technological Innovations and Clinical Implications in Cardiology.,2025,,,
40727154,A Comprehensive Review of Diagnostic Approaches to Vocal Fold Paralysis Using Artificial Intelligence.,2025 Aug,Rao Divya; Kolekar Sucheta,,
40727014,Exploring personalized neoadjuvant therapy selection strategies in breast cancer: an explainable multi-modal response model.,2025 Aug,D'Angelo Anna; van der Voort Anna; Kok Marleen; Sonke Gabe; Gao Yuan; Wang Xin; Teuwen Jonas,,
40726846,Artificial Intelligence in Obstetrics and Gynaecology: Advancing Precision and Personalised Care.,2025 Jun,,,
40726618,Automatic Real-Time Detection and Diagnosis of Liver Tumor with Ultrasound.,2025,Sheu Jin-Chuan; Chou Pei-Lien; Nien Hsiao-Ching,"YUAN High-Tech Development Co., Ltd, Taipei, Taiwan.",
40726594,AI-assisted identification of nonmelanoma skin cancer structures based on combined line-field confocal optical coherence tomography and confocal Raman microspectroscopy.,2025 Jul,Ayadh Meriem; Waszczuk Léna; Ogien Jonas; Dauce Grégoire; Augis Luc; Tfaili Sana; Tfayli Ali; Perrot Jean-Luc; Dubois Arnaud,"Lip(sys)2, Chimie Analytique Pharmaceutique, Laboratoire de Chimie Analytique Pharmaceutique, Orsay, France.; Lip(sys)2, Chimie Analytique Pharmaceutique, Laboratoire de Chimie Analytique Pharmaceutique, Orsay, France.; Lip(sys)2, Chimie Analytique Pharmaceutique, Laboratoire de Chimie Analytique Pharmaceutique, Orsay, France.",
40726395,"Response by Hijazi et al to Letter Regarding Article, ""Deep Learning-Derived Cardiac Chamber Volumes and Mass From PET/CT Attenuation Scans: Associations With Myocardial Flow Reserve and Heart Failure"".",2025 Jul 29,Hijazi Waseem; Shanbhag Aakash; Miller Robert J H; Slomka Piotr J,,
40725950,Clinical application of a deep learning system for automatic mandibular alveolar bone quantity assessment and suggested treatment options using CBCT cross-sections.,2025 Jul 25,,,
